DH_0	DH_1	DH_2	DH_3	DH_4	DM_0	DM_1	DM_2	DM_3	DM_4
0.3721	0.0	0.0	0.0	0.0	-0.0678625	0.0	0.0	0.0	0.0
0.0	0.36	0.0	0.0	0.0	0.0	-0.08064	0.0	0.0	0.0
0.0	0.0	0.12249999999999998	0.0	0.0	0.0	0.0	-0.038122	0.0	0.0
0.0	0.0	0.0	0.17639999999999997	0.0	0.0	0.0	0.0	-0.12867119999999999	0.0
0.0	0.0	0.0	0.0	0.028900000000000006	0.0	0.0	0.0	0.0	-0.07622459999999999
-0.0678625	0.0	0.0	0.0	0.0	0.0625	0.0	0.0	0.0	0.0
0.0	-0.08064	0.0	0.0	0.0	0.0	0.1024	0.0	0.0	0.0
0.0	0.0	-0.038122	0.0	0.0	0.0	0.0	0.07840000000000001	0.0	0.0
0.0	0.0	0.0	-0.12867119999999999	0.0	0.0	0.0	0.0	0.4760999999999999	0.0
0.0	0.0	0.0	0.0	-0.07622459999999999	0.0	0.0	0.0	0.0	0.8835999999999999
