z	mB	err_mB
0.50309	22.93445	0.015888602499999998
0.4948	22.8802	0.013841522500000002
0.67767	24.0377	0.04227136
0.8665	24.34685	0.0302238225
0.79857	24.3605	0.0303979225
0.37144	22.28785	0.01550025
0.35582	22.05915	0.015989602500000002
0.2836	21.40915	0.01056784
0.4664	23.21635	0.025185690000000004
0.94688	24.41155	0.026961640000000005
0.69315	23.79645	0.0597558025
0.89693	24.40275	0.027705602499999996
0.78904	24.2188	0.013421222499999998
0.59027	23.3354	0.02775556
0.21075	20.64495	0.011077562499999999
0.85852	24.1237	0.021844839999999997
0.55875	23.1648	0.01782225
0.9964	24.69965	0.01982464
0.58294	23.34385	0.01582564
0.79656	23.85445	0.02521744
0.91348	24.37895	0.0188650225
0.94846	24.66675	0.022816102499999998
0.73362	23.8481	0.0242580625
0.7656	24.10805	0.023994010000000003
0.98341	24.828	0.023409
0.70064	23.7492	0.030206440000000005
0.83814	24.1545	0.03265249
0.3706	22.1401	0.01466521
0.35858	21.95965	0.014065959999999999
0.52278	23.15915	0.0200647225
0.70198	23.7115	0.0689325025
0.74613	23.8056	0.027109622499999996
0.59185	23.2429	0.0159390625
0.62063	23.5114	0.012791610000000002
1.00279	25.0798	0.0366148225
0.61064	23.47615	0.017662409999999996
0.35833	21.9694	0.0130530625
0.45155	22.4159	0.0156625225
0.5526	22.98515	0.018023062500000003
0.75068	23.763	0.0366914025
0.82269	24.3356	0.021389062499999997
0.95076	24.68515	0.020981522500000002
0.34052	21.9463	0.011140802500000001
0.81072	24.0795	0.029087302500000002
0.61124	23.7392	0.025376489999999998
0.54831	22.8926	0.020678440000000003
1.02879	24.7289	0.025648022499999996
0.42244	22.35675	0.01420864
0.70115	23.90875	0.03258025
0.68517	23.844	0.05410276
0.93189	24.54795	0.023210522500000004
0.74909	23.81055	0.0333975625
0.4684	22.73255	0.0138886225
0.95886	24.80665	0.029739002499999997
0.84053	24.22255	0.02119936
0.56276	23.2428	0.0138180025
0.82854	24.39785	0.023286760000000004
0.57875	23.22495	0.0145564225
0.8645	24.3693	0.021389062499999997
0.85851	24.4442	0.027340622499999998
0.58575	23.5694	0.02007889
0.48881	22.8653	0.012904960000000002
0.68866	23.6132	0.023043239999999996
0.32454	21.79365	0.010455062499999999
0.18538	20.4558	0.0108264025
0.68196	23.59755	0.02202256
0.92223	24.355	0.029172640000000003
0.42866	22.751	0.016744359999999996
0.69998	23.95255	0.046354089999999994
0.57584	23.38495	0.019168402499999997
0.51176	23.11305	0.013572250000000001
0.64191	23.62155	0.027522809999999998
0.35157	22.2272	0.012904960000000002
0.34957	22.14445	0.0122434225
0.35527	22.23665	0.012769
0.87217	24.3402	0.017742240000000003
0.92624	24.7687	0.0119574225
0.41957	22.59095	0.0146289025
0.89073	24.1804	0.0198387225
0.48057	22.7752	0.01324801
0.5806	23.36785	0.02585664
0.80569	24.09575	0.02418025
0.66464	23.6337	0.025953209999999997
0.74566	24.00735	0.02331729
0.73669	23.77845	0.019572009999999997
0.37053	22.04575	0.012757702499999999
0.85073	24.31865	0.017004159999999997
0.21946	20.8469	0.01046529
0.64764	23.6259	0.02601769
0.6006	23.4022	0.023885702499999998
0.7607	23.92525	0.0224850025
0.47057	22.804	0.01490841
0.49737	22.9275	0.0174900625
0.50736	22.9705	0.01570009
0.58728	23.44375	0.0197543025
0.69915	23.77905	0.024445322499999998
0.76108	24.05415	0.025712122499999997
0.78805	24.1069	0.019085422499999997
0.40547	22.564	0.0121992025
0.80804	24.55735	0.026715902500000003
0.58328	23.6081	0.0167832025
0.72013	24.0226	0.037384222499999994
0.83699	24.3054	0.02036329
0.80603	24.2544	0.03374569
0.50074	23.0505	0.018482402499999998
0.53378	22.9345	0.027722250000000004
0.82212	24.1676	0.0343175625
0.12531	19.4684	0.010722602500000001
0.44368	22.57415	0.018198009999999997
0.68366	23.9441	0.08439024999999999
0.72668	23.90005	0.02650384
0.40455	22.44625	0.011556249999999999
0.69065	23.7527	0.0337640625
0.57661	23.2437	0.015104409999999999
0.72068	23.87645	0.041168409999999996
0.55031	23.16815	0.01560001
0.84797	24.3105	0.028815062500000006
0.43544	22.36675	0.011881
0.30158	21.64245	0.008817209999999999
0.58073	23.52355	0.018823839999999998
0.34593	22.11525	0.012321
0.33094	21.7829	0.011416922500000001
0.44956	22.78895	0.0199798225
0.29172	21.47215	0.0157126225
0.46127	22.62945	0.018975062500000004
0.63222	23.66065	0.0417998025
0.26862	21.1762	0.00986049
0.92491	24.7416	0.03697929
0.62522	23.46015	0.01697809
0.60825	23.3767	0.016027559999999996
0.57828	23.2373	0.019307102499999996
0.71963	23.82525	0.042312489999999994
0.7666	24.24705	0.025376489999999998
0.36791	22.24455	0.010383610000000001
0.84852	24.33175	0.022067102499999998
0.7766	24.0942	0.031808722500000004
0.58375	23.2686	0.0098307225
0.58873	23.30085	0.0169130025
0.76859	24.2078	0.0285103225
0.5138	23.12745	0.017662409999999996
0.63771	23.37	0.05424241
0.43487	22.5623	0.01311025
0.58375	23.46355	0.019670062500000005
0.66206	23.74875	0.03223820249999999
0.62189	23.4108	0.02650384
0.41664	22.5154	0.0138180025
0.45169	22.36265	0.01896129
0.73401	24.04855	0.057864302500000006
0.74202	24.26275	0.046289522500000006
0.34957	21.74	0.0144
0.51476	23.18845	0.01836025
0.64364	23.60755	0.03775249
0.47058	22.65205	0.0167055625
0.26349	21.15515	0.011642409999999999
0.7427	23.92255	0.0395413225
0.91075	24.6116	0.026781322499999996
0.33753	21.9137	0.011352902500000001
0.98377	24.92305	0.02070721
0.81369	24.26675	0.0198951025
0.81773	24.3431	0.0146047225
0.96075	24.5736	0.024869290000000002
0.75669	24.03965	0.02505889
0.87796	24.42165	0.020520562499999995
0.80902	24.20795	0.02782224
0.62723	23.4134	0.019044000000000002
0.93389	24.7653	0.04036081
0.69715	23.78265	0.026227802500000005
0.76706	24.3849	0.03188010249999999
0.86397	24.39625	0.023363122500000003
0.51434	22.98745	0.013747562499999998
0.47039	23.1005	0.019880999999999996
0.9279	24.7789	0.03345241
0.63071	23.4092	0.02050624
0.6157	23.56625	0.020534890000000004
0.56475	23.2891	0.018482402499999998
0.55775	23.2494	0.018198009999999997
0.73561	24.06925	0.0368832025
0.26199	21.15835	0.01170724
0.76159	23.97575	0.0238548025
0.85852	24.54425	0.0318444025
0.55875	23.6061	0.0229977225
0.48072	22.74835	0.012950439999999999
0.92224	24.57175	0.0350625625
0.47572	22.6952	0.011881
0.8932	24.5781	0.024869290000000002
0.6319	23.1617	0.031346702500000004
0.73602	24.02845	0.04443663999999999
0.41865	22.38625	0.01327104
